,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
43,이누야샤 1기,"['왓챠', '넷플릭스', '웨이브', '티빙']",[],"['강수진', '정미숙', '김승준', '서혜정', '홍시호', '구자형']",4.3,犬夜叉,2000,모험/애니메이션,일본,15세 관람가,사혼의 구슬을 노리던 이누야사는 금강의 화살에 맞아 봉인되고 사혼의 구슬은 금강의 죽음과 함께 영원히 사라지게 된다. 이야기는 현대로 돌아가 오래된 신사에 사는 중학교 3학년 가영은 어느 날 우연히 사당 안에 있는 우물 속에서 나타난 지네요괴를 만나게 되고 자신도 모르는 사이에 전국시대로 넘어오게 된다. 숲에서 봉인된 이누야샤와 만난 가영은 또 다시 지네 요괴의 습격을 받게 되고 이 요괴의 퇴치를 위해 이누야사의 봉인을 풀게 되는데...,NTV
44,아따맘마,"['왓챠', '웨이브', '티빙']",[],"['와타나베 쿠미코', '오가타 켄이치', '오리카사 후미코', '사카구치 다이스케']",3.8,あたしンち,2002,애니메이션,일본,,"아따맘마는 어디에도 있을법한 지극히 평범한 4명의 가족을 중심으로 하여 일상생활을 소재로 하여 올 컬러로 그려낸 만화이다. 단행본은 현 9권까지 나와있으며 현재도 연재중인 인기작. 언제나 노래를 부르며 항상 즐거운 엄마와 소박하고 평범하며 약간 얼빠진 듯한 행동을 보이는 귀여운 고교생인 아리, 부끄러움을 잘 타는 수줍쟁이 소년인 중학생 동동, 말없고 뭐든 무관심해보이는 아빠. 이렇게 개성만점 4가족을 중심으로 그려지고 있다. 독자들은 자신들의 생활을 비추어 보며 ""앗 이런 적 있어! 나도 경험한 적 있는데..!!"" 와 같은 공감을 할 수 있게 되는 것이 이 만화의 강점이라 할 수 있겠다.",TV Asahi
45,무한도전,"['왓챠', '웨이브']",[],"['유재석', '박명수', '정준하', '정형돈', '노홍철', '하하']",4.6,무한도전,2006,코미디/예능,한국,12세 관람가,'국내 최초 리얼 버라이어티'를 표방하고 있다. 늘 리얼한 모습으로 끝없이 도전을 하며 시청자들에게 웃음을 전해주는 프로그램. 아무 이유 없이 새로운 도전과 미션을 수행한다.,MBC
46,마이 리틀 텔레비전,['왓챠'],[],"['김구라', '이은결', '백종원', '서유리', '김영철', '홍진경']",3.6,마이 리틀 텔레비전,2015,예능,한국,15세 관람가,선발된 스타와 전문가가 자신만의 콘텐츠를 가지고 직접 PD 겸 연기자가 되어 인터넷 생방송을 펼치는 1인 방송 대결 프로그램.,MBC
47,나의 히어로 아카데미아 2기,['왓챠'],[],"['야마시타 다이키', '미야케 켄타', '오카모토 노부히코', '사쿠라 아야네', '이시카와 카이토', '카지 유우키']",4.3,僕のヒーローアカデミア,2017,애니메이션/액션/모험/코미디/판타지/SF,일본,15세 관람가,세계 총인구의 80퍼센트가 개성이라 불리는 초능력을 가진 초인 사회. 무개성으로 태어난 미도리야는 개성을 계승 받아 범죄와 맞서 싸우는 진정한 히어로를 꿈꾸며 성장해간다.,AniBox
48,나의 히어로 아카데미아,"['왓챠', '웨이브', '티빙']",[],"['야마시타 다이키', '미야케 켄타', '오카모토 노부히코', '사쿠라 아야네', '이시카와 카이토', '카지 유우키']",4.2,僕のヒーローアカデミア,2016,애니메이션/액션/모험/코미디/판타지/SF,일본,15세 관람가,세계 총인구의 80퍼센트가 개성이라 불리는 초능력을 가진 초인 사회. 무개성으로 태어난 미도리야는 개성을 계승 받아 범죄와 맞서 싸우는 진정한 히어로를 꿈꾸며 성장해간다.,MBS
49,핀과 제이크의 어드벤처 타임 시즌 5,,[],"['이지현', '곽윤상', '임하진', '김보영', '이명희', '전진아']",4.3,Adventure Time,2012,애니메이션/모험/액션,미국,전체 관람가,영웅이 되고싶은 핀과 그의 애견 제이크의 모험을 그린 애니메이션.,Cartoon Network
50,핀과 제이크의 어드벤처 타임 시즌 4,,[],"['이지현', '곽윤상', '임하진', '김보영', '이명희', '전진아']",4.3,Adventure Time,2012,애니메이션/모험/액션,미국,전체 관람가,영웅이 되고싶은 핀과 그의 애견 제이크의 모험을 그린 애니메이션.,Cartoon Network
51,핀과 제이크의 어드벤처 타임 시즌 3,,[],"['이지현', '곽윤상', '임하진', '김보영', '이명희', '전진아']",4.2,Adventure Time,2011,애니메이션/모험/액션,미국,7세 관람가,영웅이 되고싶은 핀과 그의 애견 제이크의 모험을 그린 애니메이션.,Cartoon Network
52,핀과 제이크의 어드벤처 타임 시즌 2,,[],"['이지현', '곽윤상', '임하진', '김보영', '이명희', '전진아']",4.2,Adventure Time,2010,애니메이션/모험/액션,미국,7세 관람가,영웅이 되고싶은 핀과 그의 애견 제이크의 모험을 그린 애니메이션.,Cartoon Network
53,핀과 제이크의 어드벤처 타임 시즌 1,,[],"['이지현', '곽윤상', '임하진', '김보영', '이명희', '전진아']",4.1,Adventure Time,2010,모험/액션/애니메이션,미국,7세 관람가,"핀과 제이크는 정의의 이름으로 위험에 처한 사람들을 돕고, 공주를 구하고, 괴물을 물리치지만 평소에는 신나게 놀고 장난치는 것을 좋아한다. 핀은 캔디왕국의 버블검 공주를 남몰래 좋아하고 제이크에게는 제이크만 알아들을 수 있는 말을 하는 여자친구 무지개콘이 있다.",Cartoon Network
54,마음의 소리,['넷플릭스'],[],"['이광수', '김대명', '정소민', '김병옥', '김미경', '원근수']",3.7,마음의 소리,2016,시트콤/코미디/TV드라마,한국,12세 관람가,"웹툰 '마음의 소리'를 원작으로 한 시트콤. 조석과 상상 이하의 가족들이 펼치는, 일상이 어드벤처인 요절복통 이야기.",웹드라마
55,거침없이 하이킥,"['왓챠', '웨이브']","['김병욱', '김병욱', '김병욱']","['이순재', '나문희', '박해미', '정준하', '김혜성', '정일우']",4.3,거침없이 하이킥,2006,드라마/시트콤/코미디/TV드라마,한국,15세 관람가,3대가 모여 사는 가족의 일상을 코믹하게 다룬 시트콤,MBC
56,시그널,"['넷플릭스', '디즈니+', '티빙']",[],"['이제훈', '김혜수', '조진웅', '장현성', '정해균', '김원해']",4.5,시그널,2016,범죄/드라마/판타지/TV드라마,한국,15세 관람가,현재의 형사들과 과거의 형사가 낡은 무전기로 교감을 나누며 장기 미제사건을 해결해 나간다는 내용의 드라마,tvN
57,각시탈,"['왓챠', '웨이브']","['윤성식', '차영훈', '윤성식', '차영훈']","['주원', '진세연', '박기웅', '한채아', '윤봉길', '윤진호']",3.8,각시탈,2012,드라마/시대극/액션/TV드라마,한국,15세 관람가,이름없는 영웅의 운명을 택했기에 목숨같은 사랑을 버려야했던 남자 그리고 그를 지키려했던 여자. 한국판 슈퍼히어로 각시탈의 이야기를 담은 드라마.,KBS2
58,육룡이 나르샤,"['왓챠', '웨이브']",[],"['유아인', '김명민', '신세경', '변요한', '윤균상', '천호진']",4.1,육룡이 나르샤,2015,액션/역사/시대극/TV드라마,한국,15세 관람가,조선의 기틀을 세운 철혈군주 이방원을 중심으로 한 여섯 인물의 야망과 성공 스토리를 다룬 픽션 사극 드라마.,SBS
59,사이버펑크: 엣지러너,['넷플릭스'],[],"['켄', '시라이시 켄토', '유우키 아오이', '혼다 타카코', '이노우에 카즈히코', '츠다 켄지로']",4.0,サイバーパンク エッジランナーズ,2022,애니메이션/SF/판타지,"폴란드,일본",,기술과 인간 변형에 매몰된 미래 도시. 그곳에서 살아남기 위해 애쓰는 길거리 소년의 이야기를 그렸다. 모든 것을 잃게 된 소년은 생존을 위해 사이버펑크로 알려진 불법 용병 엣지러너가 되는 길을 선택한다.,Netflix
60,수리남,['넷플릭스'],[],"['하정우', '황정민', '박해수', '조우진', '유연석', '김민귀']",3.8,수리남,2022,액션/범죄/스릴러/TV드라마,한국,청소년 관람불가,남미 국가 수리남을 장악한 무소불위의 마약 대부로 인해 누명을 쓴 한 민간인이 국정원의 비밀 임무를 수락하며 벌어지는 이야기를 그린 넷플릭스 시리즈,Netflix
61,터미널 리스트,,"['프레더릭 E.O. 토이', '실베인 화이트', 'M.J. 바셋', '안톤 후쿠아', '터커 게이츠', '프레더릭 E.O. 토이', '실베인 화이트', 'M.J. 바셋', '안톤 후쿠아', '터커 게이츠', '프레더릭 E.O. 토이', '실베인 화이트', 'M.J. 바셋', '안톤 후쿠아', '터커 게이츠']","['크리스 프랫', '테일러 키취', '콘스탄스 우', '진 트리플혼', '자이 코트니', 'J. D. 파르도']",3.8,The Terminal List,2022,액션/드라마/스릴러/TV드라마,미국,,"은밀하고 위험한 임무를 하던 제임스 리스(크리스 프랫)의 네이비실 소대가 기습당한 이후를 그렸다. 리스는 사건에 관한 상충하는 기억과 책임에 대한 의문을 품은 채 가족이 있는 집으로 돌아온다. 하지만, 새로운 증거가 떠오르면서 리스는 자신은 물론 사랑하는 사람들을 위험에 빠트리는 어두운 세력이 움직이고 있음을 알게 된다.",Amazon Prime Video
62,"러브, 데스 + 로봇 시즌 3",['넷플릭스'],"['데이빗 핀처', '패트릭 오스본', '데이빗 핀처', '패트릭 오스본', '데이빗 핀처', '패트릭 오스본', '데이빗 핀처', '패트릭 오스본', '에밀리 딘', '앤디 라이온', '로베르토 비시', '데이빗 핀처', '패트릭 오스본', '에밀리 딘', '앤디 라이온', '로베르토 비시', '여인영', '팀 밀러', '제롬 첸', '에밀리 딘', '앤디 라이온', '로베르토 비시', '여인영', '팀 밀러', '제롬 첸', '에밀리 딘', '앤디 라이온', '로베르토 비시', '여인영', '팀 밀러', '제롬 첸']","['제임스 프레스턴 로저스', '크리스 파넬', '조쉬 브레너', '게리 안소니 윌리엄스', '조 맹가니엘로', '자이 코트니']",3.9,"Love, Death & Robots",2022,코미디/애니메이션/판타지/SF,미국,,"기이한 세계, 격렬한 쾌감, 반전의 묘미가 돌아왔다. 팀 밀러와 데이비드 핀처가 전하는 에미상 수상 애니메이션 앤솔러지의 제3부.",Netflix
63,한화이글스: 클럽하우스,"['왓챠', 'Dolby Vision']",[],"['카를로스 수베로', '호세 로사도', '조니 워싱턴', '박찬혁', '정민철', '석장현']",4.4,한화이글스: 클럽하우스,2022,다큐멘터리/스포츠,한국,12세 관람가,"KBO 역대 최다기록 18연패, 2009년 이후에만 6번의 꼴찌, 리빌딩만 수십 년째…

‘보살‘이라는 팬들마저 돌아 앉게 만든 한화이글스는 2021년 시즌을 앞두고 대대적인 체질개선을 선언한다. 베테랑 선수들과 코치진을 내보내고 미국 메이저리그에서 육성 전문가로 명성이 자자한 카를로스 수베로 감독을 선임한다. ‘너희에게는 실패할 자유가 있다‘, ‘패배해도 좋으니 신념을 가지고 최선을 다하라’는 감독의 외침에 선수들의 눈빛이 흔들린다. 스프링캠프부터 마지막 경기까지. 그동안 결코 볼 수 없었던 그라운드 뒷 이야기가 펼쳐진다.

변화와 도전, 좌절과 희망이 교차된 그들만의 공간, 클럽하우스. 그 문이 열린다.",WATCHA
64,톡파원 25시,['티빙'],[],"['전현무', '김숙', '양세찬', '이찬원', '다니엘 린데만', '알베르토 몬디']",3.9,톡파원 25시,2022,예능,한국,15세 관람가,CNN에 특파원이 있다면 우리에게는 톡파원이 있다! 생생한 세계 각국의 현지 영상도 살펴보고 화상앱을 통해 다양한 톡파원들과 깊이 있는 토크도 나눠보는 톡파원 25시!,JTBC
65,피의 게임 1,['웨이브'],[],"['이상민', '장동민', '슈카', '박지윤', '최예나']",3.6,피의 게임,2021,예능,한국,15세 관람가,"""최후의 1인만이 상금을 독차지한다!"" 게임에 참가한 도전자들이 외부와 단절된 공간 안에서 돈을 두고 펼치는 치열한 생존 서바이벌 리얼리티",MBC
66,지옥,['넷플릭스'],[],"['유아인', '김현주', '박정민', '양익준', '원진아', '이레']",3.3,지옥,2021,드라마/판타지/스릴러/TV드라마,한국,청소년 관람불가,예고없이 등장하는 지옥의 사자들을 맞닥뜨리게 된 사람들이 갑작스런 지옥행 선고를 받으며 겪게 되는 초자연적 현상을 그린 이야기,Netflix
67,은밀한 회사원 파트 1,['넷플릭스'],[],"['리지 캐플란', '클락 듀크', '크리스찬 슬레이터', '윌 블라그로브']",4.0,Inside Job,2021,애니메이션/코미디,미국,,파충류 인간은? 진짜. 달 착륙 사건은? 가짜! 사람들 몰래 세상에 떠도는 음모론을 관리하는 직원들. 소심한 천재와 사회 부적응자 동료들의 은밀한 하루가 시작된다.,Netflix
68,대탈출 시즌 4,['티빙'],[],"['강호동', '김종민', '신동', '김동현', '유병재', '피오']",3.7,대탈출,2021,예능,한국,15세 관람가,초대형 밀실 탈출을 위한 빈틈 투성이 멤버들의 기상천외 팀플레이가 돋보이는 탈출 게임쇼,tvN
69,라바 시즌 1,"['왓챠', '넷플릭스', '웨이브', '티빙']",['맹주공'],[],3.8,라바,2011,애니메이션/코미디,한국,전체 관람가,"인간들이 사는 세상에서 끊임없이 무엇인가 떨어진다. 씹다 버린 껌, 먹다 버린 아이스크림, 동전, 반지 등등. 작고 귀여운 애벌레 레드와 옐로우는 이 모든 것이 신기하다.
때론 이 물건들로 인해 곤란해지기도 하고 행복해지기도 하며 떨어진 물건을 차지하기 위해 티격태격 싸우기도 한다. 워낙 작은 존재라 빗방울, 추위 등으로 인행 엄청난 위기상황에 던져지기도 하는데...",
70,쇼미더머니 9,['티빙'],[],"['팔로알토', '다이나믹 듀오', '저스디스', '기리보이', '자이언티', '비와이']",3.6,쇼미더머니,2020,예능,한국,15세 관람가,"WHO IS THE NEXT YOUNG BOSS? 

한국 힙합 씬의 새로운 주인공으로 등극할 ‘Young Boss’라는 타이틀을 두고 대결하는 힙합 서바이벌 프로그램",Mnet
71,신서유기 시즌 8,['티빙'],[],"['강호동', '이수근', '은지원', '규현', '송민호', '피오']",3.9,신서유기,2020,예능,한국,15세 관람가,중국 고전 ‘서유기’의 주인공을 바탕으로 한 리얼 버라이어티 프로그램,tvN
72,가짜사나이,['왓챠'],[],"['김계란', '에이전트 H', '이근', '야전삽', '베이식', '공혁준']",3.6,가짜사나이,2020,예능,한국,,"진짜가 되기위한 가짜들의 도전, 유명 크리에이터/연예인들이 MUSAT 특수부대 훈련에 도전한다.",
